,Origin,Destination
2720,Philadelphia,Rhode Island
2734,Virginia,Philadelphia
2776,Philadelphia,Philadelphia
2777,Philadelphia,Philadelphia
2780,Philadelphia,Philadelphia
2783,Louisiana,Italy
2791,Louisiana,Italy
2797,Maine,Philadelphia
2831,Michigan,Italy
2841,England,Philadelphia
2848,Maine,Pennsylvania
2849,England,Philadelphia
2852,Maine,Pennsylvania
2870,Maine,Susquehanna County
2873,Virginia,Philadelphia
2874,Pennsylvania,Philadelphia
2899,Pennsylvania,Philadelphia
2913,Maine,Rhode Island
2914,Maine,Rhode Island
2916,Maine,Rhode Island
2919,Maine,Rhode Island
2920,Maine,Rhode Island
2972,Philadelphia,Michigan
2973,New York (State),Philadelphia
2984,Philadelphia,Philadelphia
3021,Philadelphia,Maine
3022,Philadelphia,Maine
3023,New York (State),Maine
3024,Philadelphia,Maine
3025,Susquehanna County,Maine
3027,Philadelphia,Maine
3028,Philadelphia,Pennsylvania
3031,Philadelphia,Pennsylvania
3036,Philadelphia,Maine
3040,Philadelphia,Philadelphia
3041,Philadelphia,Philadelphia
3042,Maine,Philadelphia
3043,Maine,Philadelphia
3045,New York (State),California
3047,Philadelphia,Philadelphia
3049,Iraq,Philadelphia
3052,Switzerland,Philadelphia
3053,Pennsylvania,Pennsylvania
3054,Netherlands,Philadelphia
3062,Susquehanna County,England
